ticker,AQN.to,ATP.to,BEP-UN.to,BLDP.to,BLX.to,CAS.to,CLR.to,CMH.to,DRT.to,ECO.to,EHT.v,HYG.to,INE.to,KPT.to,NFI.to,NPI.to,PIF.to,RNW.to,SOY.to,SXI.to,UGE.v,VNP.to,WPRT.to
Total Stockholders' Equity,36.34,-2.14,0.0,68.52,15.48,34.49,20.04,80.79,76.3,96.34,-250.04,29.29,13.56,95.78,39.83,10.25,46.6,62.08,30.8,47.08,-27.03,46.28,34.64
3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow/Net Income,-0.47,-2.77,-8.53,2.74,-6.0,0.15,-4.27,0.16,4.43,0.73,1.02,0.96,6.69,0.0,0.11,1.13,2.43,2.96,0.24,0.37,0.95,-0.61,0.9
EBT Margin,9.67,-25.06,5.23,-11.03,-5.92,4.68,1.88,3.16,0.13,-22.51,0.0,-20.7,2.87,0.0,9.4,28.35,22.51,29.22,-12.78,-21.62,-11.03,4.76,-18.95
Other Long-Term Liabilities,17.92,12.19,24.2,10.45,5.91,10.1,2.72,3.14,0.58,0.0,0.0,9.76,10.61,1.59,9.39,9.74,11.42,7.93,1.57,4.85,0.0,8.84,9.01
Financial Leverage,3.11,0.0,6.94,1.46,6.52,3.0,5.11,1.24,1.31,1.04,0.0,3.41,9.62,1.04,2.51,13.75,2.14,1.63,4.38,2.16,0.0,2.16,2.89
Tax Rate %,51.25,0.0,56.16,0.0,0.0,0.96,59.51,21.81,696.59,0.0,0.0,0.0,24.77,0.0,17.12,15.92,57.19,25.78,0.0,0.0,0.0,0.0,0.0
Accrued Liabilities,2.0,1.98,1.86,0.0,0.0,0.0,0.0,0.0,0.0,1.32,43.53,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.09,0.0,0.0,0.0
Other,16.09,53.97,28.75,0.0,42.98,0.0,0.0,0.0,0.0,0.31,0.0,0.96,32.47,0.0,0.0,41.18,34.88,24.66,0.89,36.65,3.66,2.55,3.5
Total Current Liabilities,4.82,11.99,14.42,21.03,11.58,19.52,14.33,16.07,20.28,3.66,350.04,48.7,4.63,2.63,20.67,8.49,4.88,7.74,45.46,3.75,92.68,32.53,41.67
Market Capitalization,5611.08,359.68,7317.0,739.27,1437.92,1339.66,356.48,96.60000000000001,549.9499999999999,110.4,6.48,119.25,1651.72,89.01,3213.6299999999997,3980.7299999999996,205.92,2997.9599999999996,932.6400000000001,16.8,11.0,291.48,447.2
Fixed Assets Turnover,0.29,0.55,0.11,7.62,0.16,2.05,2.35,22.56,5.28,2.96,0.54,12.55,0.14,0.0,13.13,0.2,0.18,0.23,7.52,0.17,164.47,3.82,4.44
SG&A,3.05,6.68,3.11,18.4,6.14,10.11,8.59,29.83,42.28,29.38,325.63,27.1,5.18,0.0,8.57,2.69,5.07,0.0,8.79,68.47,25.76,11.95,24.02
Current Ratio,1.08,1.32,0.78,2.64,0.68,1.52,2.15,2.63,2.82,24.31,0.15,1.63,1.54,1.07,2.0,1.18,2.56,0.49,1.23,1.9,0.74,2.07,1.52
EPS % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,2.01,0.79,6.47,14.21,0.72,2.04,0.71,2.72,4.61,0.0,31.55,43.0,0.79,2.63,3.65,1.49,0.01,1.73,1.0,0.55,56.68,0.0,6.67
Payables Period,22.12,9.47,28.06,49.17,445.12,67.4,55.38,63.34,55.24,30.57,1669.27,107.28,299.21,0.0,62.75,407.16,57.71,67.29,57.35,0.0,0.0,109.69,139.81
Cap Spending CAD Mil,-683.0,N/A,N/A,N/A,-221.0,-241.0,-57.0,N/A,-27.0,N/A,0.0,N/A,-106.0,0.0,N/A,-797.0,N/A,-52.0,N/A,-1.0,N/A,N/A,N/A
Accounts Receivable,2.3,2.42,1.52,15.64,2.4,14.73,12.0,20.25,16.27,4.13,7.23,13.36,1.43,0.0,19.92,2.19,3.61,2.69,14.46,1.51,49.96,13.63,23.82
Cash & Short-Term Investments,0.42,7.57,1.0,21.38,3.64,2.27,3.53,10.77,29.01,79.69,2.71,23.41,4.17,0.0,0.76,4.39,8.58,0.63,0.2,5.39,6.89,11.95,16.84
Free Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow Per Share * CAD,0.0,N/A,N/A,N/A,0.0,0.0,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,N/A,N/A
Quick Ratio,0.6,1.03,0.32,1.76,0.53,0.9,1.11,1.93,2.23,22.91,0.03,0.75,1.29,0.62,1.0,0.81,2.5,0.43,0.32,1.87,0.61,0.79,0.98
Asset Turnover (Average),0.21,0.29,0.1,0.68,0.11,0.95,0.77,0.68,1.35,0.34,0.07,0.71,0.1,0.0,1.27,0.15,0.16,0.11,1.15,0.11,2.46,0.93,0.88
Net Income CAD Mil,222.0,N/A,N/A,N/A,1.0,178.0,-11.0,N/A,-2.0,N/A,-8.0,N/A,20.0,-6.0,N/A,235.0,N/A,91.0,N/A,-1.0,N/A,N/A,N/A
Intangibles,11.27,17.58,3.05,34.78,22.59,16.14,31.69,40.93,11.98,0.0,0.0,7.76,16.85,0.0,47.46,7.6,0.96,3.36,27.07,19.68,29.42,4.57,7.61
Net PP&E,70.71,53.67,85.66,9.53,65.82,48.6,33.92,4.84,26.73,11.07,9.96,6.57,65.38,0.0,10.77,77.04,85.78,48.75,16.41,64.71,1.96,23.21,22.76
Operating Income CAD Mil,492.0,N/A,N/A,N/A,89.0,220.0,50.0,N/A,0.0,N/A,-5.0,N/A,183.0,0.0,N/A,695.0,N/A,151.0,N/A,-0.0,N/A,N/A,N/A
Long-Term Debt,40.92,77.96,61.38,0.0,67.04,35.89,62.91,0.0,2.84,0.0,0.0,12.25,71.2,0.0,30.11,71.51,37.11,22.26,22.17,44.32,34.34,12.34,14.68
Return on Equity %,7.59,-397.3,-1.42,-11.79,0.15,11.78,-6.64,16.25,-1.38,-7.97,0.0,-49.73,3.11,-5.42,25.36,30.44,3.22,4.16,-46.87,-5.16,0.0,10.44,-47.17
Inventory,0.96,1.31,0.0,17.1,0.0,11.55,13.69,10.61,9.77,4.83,17.15,31.28,0.0,0.0,19.67,0.0,0.0,0.16,37.59,0.0,0.0,37.68,15.65
Operating Margin %,23.6,13.8,32.0,-8.7,19.5,4.9,8.3,5.5,0.1,-26.4,-622.4,-15.8,37.9,0.0,10.2,45.9,49.0,34.5,1.0,-5.3,-8.1,7.9,-17.9
Cash Conversion Cycle,45.24,92.78,0.0,119.69,0.0,38.3,86.7,78.46,28.21,74.25,-1105.6,115.9,0.0,0.0,55.18,0.0,0.0,14.76,110.58,0.0,0.0,122.42,39.6
Interest Coverage,2.06,0.0,1.22,-19.26,0.76,3.11,1.4,0.0,1.69,0.0,-1.4,0.0,1.09,0.0,12.13,2.25,1.96,3.42,0.0,-0.16,-2.8,2.42,-6.69
Net Margin %,10.14,-16.57,-2.08,-11.58,0.22,3.99,-1.74,19.23,-0.79,-22.51,0.0,-21.33,2.91,0.0,7.79,14.78,9.59,20.78,-11.16,-20.68,-11.24,4.97,-17.75
Operating Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dividends CAD,0.61,N/A,N/A,N/A,0.61,0.16,0.2,N/A,0.0,N/A,0.0,N/A,0.67,0.72,N/A,1.06,N/A,0.94,N/A,0.0,N/A,N/A,N/A
Days Sales Outstanding,38.83,34.77,34.11,59.36,77.64,52.31,54.97,60.8,39.45,35.4,386.89,27.48,75.78,0.0,48.46,51.06,78.02,70.83,42.43,57.59,38.25,50.31,89.3
Taxes Payable,0.0,0.0,0.0,0.06,0.0,0.47,0.39,0.73,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,5.11,0.0
Return on Assets %,2.17,-4.82,-0.2,-7.92,0.02,3.77,-1.35,13.14,-1.07,-7.64,-98.37,-15.2,0.29,-5.24,9.91,2.29,1.5,2.38,-12.81,-2.27,-27.75,4.63,-15.54
R&D,0.0,0.0,0.0,23.04,4.39,0.0,0.32,5.79,0.0,16.36,18.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.99
Total Current Assets,4.88,12.76,6.09,55.49,7.82,28.55,30.11,42.33,57.29,88.93,53.99,79.22,6.68,2.82,41.3,9.61,12.51,3.73,55.78,7.0,68.61,67.39,63.33
Asset Turnover,0.21,0.29,0.1,0.68,0.11,0.95,0.77,0.68,1.35,0.34,0.07,0.71,0.1,0.0,1.27,0.15,0.16,0.11,1.15,0.11,2.46,0.93,0.88
4. close,13.11,2.81,40.65,4.13,18.92,13.67,5.57,4.2,6.47,1.84,0.04,7.95,13.88,9.89,51.01,22.49,12.87,12.04,10.72,0.48,0.275,3.47,3.44
Payout Ratio % *,122.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,558.3,0.0,34.9,86.2,151.8,275.0,0.0,0.0,0.0,0.0,0.0
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Current Assets,1.2,1.47,3.58,1.37,1.78,0.0,0.88,0.71,2.24,0.28,26.9,11.17,1.09,2.82,0.95,3.03,0.32,0.24,3.53,0.1,11.76,4.13,7.02
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Debt/Equity,1.2,0.0,2.32,0.05,4.33,1.04,3.14,0.0,0.04,0.0,0.0,0.42,6.44,0.0,0.78,9.39,0.8,0.36,0.97,0.94,0.0,0.27,0.42
Return on Invested Capital %,4.91,-6.93,2.97,-10.66,2.19,8.45,1.62,15.07,-1.25,-9.37,0.0,-31.5,3.46,-5.42,15.81,6.45,4.64,4.07,-17.7,-0.3,0.0,11.81,-24.41
Financial Leverage (Average),3.11,0.0,6.94,1.46,6.52,3.0,5.11,1.24,1.31,1.04,0.0,3.41,9.62,1.04,2.51,13.75,2.14,1.63,4.38,2.16,0.0,2.16,2.89
Short-Term Debt,0.16,9.05,5.68,0.0,7.22,1.49,2.98,4.45,2.31,0.0,126.95,5.7,1.77,0.0,0.0,5.02,3.39,4.99,27.88,2.57,36.01,7.79,2.82
Operating Income % Year over Year,-19.32,-107.71,16.52,280.41,-127.78,59.57,4.27,2.74,-611.22,-50.71,95.9,-38.73,5.5,0.0,3.98,-12.45,28.33,-8.33,21.39,-41.04,121.65,13.34,-62.72
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap Ex as a % of Sales,32.82,0.68,11.06,4.23,48.46,5.4,9.36,1.83,8.76,0.0,0.0,4.64,21.83,0.0,2.79,52.62,35.72,11.87,3.38,17.44,0.0,4.52,6.39
Year over Year,-19.19,-46.61,7.61,-0.29,-8.49,4.34,-3.99,34.29,24.12,21.8,-72.36,1.63,36.53,0.0,9.72,4.91,10.96,-8.93,-5.1,-10.66,10.22,3.79,29.66
Net Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Int Inc & Other,-13.96,-38.87,-26.82,-2.31,-25.44,-0.25,-6.41,-2.36,0.04,3.93,-411.75,-4.86,-35.04,0.0,-0.79,-17.55,-26.5,-5.25,-13.76,-16.29,-2.9,-3.14,-1.08
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGS,57.23,25.54,36.09,67.28,26.97,84.96,82.8,58.86,57.63,80.39,378.73,71.28,24.45,0.0,81.24,10.24,11.04,40.87,89.34,0.0,78.72,77.6,75.35
Shares Mil,428.0,128.0,180.0,179.0,76.0,98.0,64.0,23.0,85.0,60.0,162.0,15.0,119.0,9.0,63.0,177.0,16.0,249.0,87.0,35.0,40.0,84.0,130.0
Book Value Per Share * CAD,6.07,N/A,N/A,N/A,8.79,16.42,2.34,N/A,2.05,N/A,-0.11,N/A,4.36,10.6,N/A,4.27,N/A,8.88,N/A,0.4,N/A,N/A,N/A
Net Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,42.8,74.5,63.9,32.7,73.0,15.0,17.2,41.1,42.4,19.6,-278.7,28.7,75.5,0.0,18.8,89.8,89.0,59.1,10.7,0.0,21.3,22.4,24.7
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,63.66,102.14,100.0,31.48,84.52,65.51,79.96,19.21,23.7,3.66,350.04,70.71,86.44,4.22,60.17,89.75,53.4,37.92,69.2,52.92,127.03,53.72,65.36
Accounts Payable,0.66,0.16,0.41,6.76,3.64,15.52,10.26,8.18,13.36,2.33,148.01,0.0,1.99,0.0,17.02,1.98,0.48,1.01,16.39,0.53,0.0,19.64,32.18
Inventory Turnover,12.8,5.4,0.0,3.33,0.0,6.84,4.19,4.51,8.29,5.26,2.06,1.87,0.0,0.0,5.25,0.0,0.0,32.55,2.91,0.0,0.0,2.01,4.05
10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings Per Share CAD,0.5,N/A,N/A,N/A,0.01,1.82,-0.16,N/A,-0.03,N/A,-0.07,N/A,0.12,-0.62,N/A,1.23,N/A,0.34,N/A,-0.02,N/A,N/A,N/A
Days Inventory,28.53,67.48,0.0,109.5,0.0,53.39,87.11,81.0,44.01,69.42,176.79,195.7,0.0,0.0,69.47,0.0,0.0,11.22,125.5,0.0,0.0,181.81,90.12
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gross Margin,42.77,74.46,63.91,32.72,73.03,15.04,17.2,41.14,42.37,19.61,-278.73,28.72,75.55,0.0,18.76,89.76,88.96,59.13,10.66,0.0,21.28,22.4,24.65
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow USD Mil,N/A,162.0,949.0,-33.0,N/A,N/A,N/A,3.0,N/A,-3.0,N/A,-8.0,N/A,N/A,90.0,N/A,37.0,N/A,11.0,N/A,-2.0,3.0,-26.0
Operating Income USD Mil,N/A,49.0,895.0,-10.0,N/A,N/A,N/A,3.0,N/A,-5.0,N/A,-8.0,N/A,N/A,249.0,N/A,31.0,N/A,12.0,N/A,-2.0,17.0,-49.0
Book Value Per Share * USD,N/A,-0.22,18.37,0.82,N/A,N/A,N/A,4.26,N/A,1.25,N/A,1.47,N/A,N/A,16.94,N/A,15.7,N/A,3.5,N/A,-0.09,1.75,0.99
Cap Spending USD Mil,N/A,-2.0,-309.0,-5.0,N/A,N/A,N/A,-1.0,N/A,0.0,N/A,-2.0,N/A,N/A,-68.0,N/A,-23.0,N/A,-42.0,N/A,0.0,-10.0,-18.0
Free Cash Flow Per Share * USD,N/A,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A,0.0,N/A,0.0,N/A,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0
Free Cash Flow USD Mil,N/A,160.0,640.0,-38.0,N/A,N/A,N/A,2.0,N/A,-3.0,N/A,-10.0,N/A,N/A,22.0,N/A,15.0,N/A,-31.0,N/A,-2.0,-7.0,-44.0
Working Capital USD Mil,N/A,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A,0.0,N/A,0.0,N/A,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0
Earnings Per Share USD,N/A,-0.52,-0.34,-0.09,N/A,N/A,N/A,0.45,N/A,-0.08,N/A,-0.62,N/A,N/A,3.02,N/A,0.39,N/A,-1.61,N/A,-0.06,0.13,-0.41
Net Income USD Mil,N/A,-58.0,-75.0,-14.0,N/A,N/A,N/A,11.0,N/A,-5.0,N/A,-10.0,N/A,N/A,191.0,N/A,6.0,N/A,-131.0,N/A,-2.0,11.0,-49.0
Dividends USD,N/A,0.0,1.92,0.0,N/A,N/A,N/A,0.0,N/A,0.0,N/A,0.0,N/A,N/A,1.06,N/A,0.59,N/A,0.0,N/A,0.0,0.0,0.0
Revenue USD Mil,N/A,355.0,2793.0,119.0,N/A,N/A,N/A,56.0,N/A,21.0,N/A,48.0,N/A,N/A,2448.0,N/A,63.0,N/A,1245.0,N/A,21.0,220.0,275.0
