year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Operating Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.38,0.04,-37.82,2.74
Operating Income % 5-Year Average,63.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap Ex as a % of Sales,0.97,6.91,2.57,2.48,1.63,1.04,2.06,1.77,1.71,0.88,1.83
Year over Year,-16.41,-36.47,7.2,5.85,-26.35,-2.04,68.84,55.96,-30.0,8.79,34.29
Net Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.45,-60.41,168.47,0.0
Net Int Inc & Other,-16.56,4.91,-14.21,-11.32,-0.35,-8.26,-3.23,1.74,-0.12,-2.32,-2.36
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,19.84,17.51,16.97,0.0,0.0
COGS,65.02,66.1,66.7,68.63,68.84,71.49,65.33,58.79,56.97,58.42,58.86
Shares Mil,5.0,5.0,5.0,5.0,5.0,6.0,14.0,23.0,25.0,24.0,23.0
Net Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dividends USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,35.0,33.9,33.3,31.4,31.2,28.5,34.7,41.2,43.0,41.6,41.1
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,26.25,17.65,30.91,31.36,34.0,40.31,28.63,28.17,20.85,22.02,19.21
Accounts Payable,25.07,12.25,20.81,27.03,21.63,24.37,16.67,8.4,5.31,8.48,8.18
Inventory Turnover,3.76,4.49,6.47,7.68,6.9,5.98,6.7,4.97,2.88,4.12,4.51
10-Year Average,0.0,0.0,36.73,32.68,20.46,13.8,12.71,7.42,-1.15,-1.36,0.0
Revenue USD Mil,52.0,32.0,34.0,36.0,26.0,26.0,44.0,43.0,48.0,52.0,56.0
Gross Margin,34.98,33.9,33.3,31.37,31.16,28.51,34.67,41.21,43.03,41.58,41.14
Days Inventory,97.12,81.36,56.43,47.55,52.92,61.03,54.44,73.42,126.69,88.53,81.0
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Operating Income % 3-Year Average,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0
5-Year Average,47.6,19.07,0.34,-7.69,-15.0,-12.26,6.68,14.99,5.86,14.46,0.0
