year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Cap Spending USD Mil,-2.0,-5.0,-0.0,-4.0,-31.0,-26.0,-10.0,-5.0,-9.0,-25.0,-18.0
Intangibles,0.73,0.32,0.18,5.56,18.79,16.24,15.18,12.07,7.78,7.74,7.61
Net PP&E,4.67,5.69,3.98,4.42,11.87,13.7,17.21,20.28,18.01,22.44,22.76
Long-Term Debt,0.01,8.38,8.29,3.66,10.64,2.64,17.65,25.85,9.33,14.49,14.68
Return on Equity %,-52.53,-50.1,-56.13,-30.26,-29.39,-56.27,-60.96,-83.52,-127.52,-9.81,-47.17
Inventory,11.43,10.32,5.24,6.15,9.17,8.26,12.39,17.01,21.31,16.18,15.65
Operating Margin %,-26.1,-20.9,-15.2,-12.8,-68.4,-102.0,-98.3,-96.0,-53.1,-24.7,-17.9
Cash Conversion Cycle,34.07,34.27,32.86,31.31,123.89,112.88,127.98,113.27,75.99,85.22,39.6
R&D,32.19,23.96,21.55,23.41,47.03,55.56,58.65,51.09,31.53,20.67,14.99
Interest Coverage,0.0,-4.83,-5.64,-5.23,-14.93,-33.28,-21.92,-15.53,-6.45,-4.0,-6.69
Free Cash Flow Per Share * USD,0.0,0.0,0.0,0.0,-2.15,-3.2,-2.07,-1.87,-1.61,-0.74,0.0
Net Margin %,-14.42,-20.05,-28.79,-28.56,-63.47,-113.03,-114.59,-95.24,-43.39,-4.04,-17.75
Operating Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow USD Mil,-17.0,-12.0,-22.0,-28.0,-117.0,-143.0,-117.0,-74.0,-89.0,-67.0,-44.0
Taxes Payable,0.0,1.65,1.67,0.4,0.18,0.14,0.17,0.96,0.28,0.16,0.0
Return on Assets %,-15.61,-21.02,-28.35,-19.83,-20.15,-37.77,-36.08,-35.95,-36.06,-3.09,-15.54
Working Capital USD Mil,22.0,69.0,113.0,181.0,238.0,195.0,105.0,32.0,54.0,81.0,0.0
Earnings Per Share USD,-0.41,-0.67,-1.02,-1.0,-1.83,-3.22,-2.34,-1.55,-1.07,-0.08,-0.41
Total Current Assets,65.32,88.62,93.18,86.0,65.05,65.03,56.52,50.23,64.49,63.97,63.33
Asset Turnover,1.08,1.05,0.98,0.69,0.32,0.33,0.31,0.38,0.83,0.77,0.88
4. close,14.29,8.63,18.21,N/A,36.53,28.73,15.93,4.91,N/A,N/A,3.44
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income USD Mil,-10.0,-20.0,-35.0,-42.0,-99.0,-185.0,-148.0,-99.0,-98.0,-10.0,-49.0
Other Current Assets,7.57,4.31,4.08,2.88,2.82,1.87,2.43,1.66,1.53,3.47,7.02
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Debt/Equity,0.0,0.19,0.15,0.05,0.16,0.04,0.35,0.8,0.36,0.38,0.42
Return on Invested Capital %,-29.69,-37.17,-43.19,-25.29,-22.36,-44.94,-45.28,-49.22,-58.28,1.33,-24.41
Financial Leverage (Average),2.65,2.22,1.84,1.39,1.46,1.52,2.01,3.1,3.88,2.66,2.89
Short-Term Debt,14.98,4.63,2.3,5.59,5.83,10.78,5.61,3.94,14.51,2.87,2.82
Operating Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.72
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap Ex as a % of Sales,2.36,4.28,0.21,2.44,20.15,16.12,7.85,4.69,5.27,10.24,6.39
Year over Year,0.0,38.83,32.89,15.47,2.88,5.4,-20.4,-20.88,117.7,9.86,29.66
Net Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Int Inc & Other,13.17,11.37,-0.59,-3.92,6.0,-10.53,-15.43,0.69,-0.67,-1.78,-1.08
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGS,68.53,74.48,68.21,61.45,65.85,90.65,77.39,82.51,79.5,74.04,75.35
Shares Mil,25.0,30.0,34.0,42.0,54.0,58.0,63.0,64.0,91.0,120.0,130.0
Net Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dividends USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,31.5,25.5,31.8,38.6,34.1,9.4,22.6,17.5,20.5,26.0,24.7
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,62.25,55.01,45.62,28.25,31.42,34.33,50.25,67.76,74.22,62.36,65.36
Accounts Payable,10.73,6.5,4.94,6.73,7.74,8.72,12.38,20.44,21.24,19.36,32.18
Inventory Turnover,8.5,7.27,9.18,7.33,2.28,3.48,2.38,2.15,3.32,3.01,4.05
10-Year Average,0.0,85.61,90.24,122.04,20.59,23.59,16.72,12.73,18.15,15.49,0.0
Revenue USD Mil,69.0,109.0,122.0,148.0,156.0,164.0,131.0,103.0,177.0,247.0,275.0
Gross Margin,31.47,25.52,31.79,38.55,34.15,9.35,22.61,17.49,20.5,25.96,24.65
Days Inventory,42.93,50.22,39.75,49.8,160.07,105.03,153.66,169.73,109.87,121.09,90.12
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Year Average,0.0,31.29,35.12,31.71,20.8,16.09,5.4,-3.68,7.53,9.68,0.0
