year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,0.0,6.13,2.11,1.78,1.81,1.24,4.54,1.08,0.94,1.24,0.79
Payables Period,0.0,1259.54,290.55,348.68,277.0,390.06,0.0,0.0,0.0,298.84,299.21
Cap Spending CAD Mil,-106.0,-51.0,-39.0,-214.0,-197.0,-132.0,-230.0,-325.0,-351.0,-136.0,-106.0
Accounts Receivable,5.26,1.49,1.72,1.9,3.21,1.12,1.3,1.19,2.74,2.09,1.43
Cash & Short-Term Investments,1.37,2.32,4.58,1.73,2.24,3.53,2.01,1.3,4.05,1.48,4.17
Free Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow Per Share * CAD,-5.01,-1.18,-0.28,-0.9,-1.55,-0.7,-1.08,-2.54,-3.0,-0.36,0.0
Quick Ratio,0.5,0.38,1.14,0.89,0.91,1.04,0.45,0.42,1.11,0.61,1.29
Asset Turnover (Average),0.02,0.06,0.13,0.1,0.08,0.08,0.1,0.08,0.08,0.1,0.1
Net Income CAD Mil,-36.0,26.0,-69.0,-41.0,1.0,48.0,-55.0,-30.0,36.0,30.0,20.0
Intangibles,24.5,11.65,21.92,26.93,19.31,19.96,18.25,15.36,15.35,16.53,16.85
Net PP&E,52.76,61.02,65.98,61.96,62.56,66.61,69.8,69.5,74.91,76.08,65.38
Operating Income CAD Mil,-1.0,25.0,35.0,58.0,70.0,80.0,180.0,108.0,124.0,166.0,183.0
Long-Term Debt,34.48,43.63,46.06,57.82,57.27,60.7,63.36,72.56,69.85,75.29,71.2
Return on Equity %,-15.79,-8.02,-1.38,-11.12,-0.68,10.67,-14.81,-10.66,9.12,7.48,3.11
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Margin %,-23.4,43.2,38.4,38.8,39.6,40.2,74.3,43.9,42.3,41.6,37.9
Cash Conversion Cycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest Coverage,0.0,-1.48,0.68,-0.07,1.02,2.02,-0.45,0.21,1.41,1.19,1.09
Net Margin %,-578.01,-59.78,-4.11,-27.35,-1.57,24.3,-25.63,-15.16,10.25,6.01,2.91
Operating Cash Flow Growth % YOY,0.0,0.0,1.77,86.01,43.13,96.66,-28.31,-94.8,0.0,150.74,0.0
Dividends CAD,1.0,0.92,0.6,0.58,0.58,0.58,0.6,0.62,0.64,0.66,0.67
Days Sales Outstanding,1321.09,210.12,38.03,60.11,56.55,35.85,37.06,42.44,32.15,34.5,75.78
Taxes Payable,0.0,0.0,0.29,0.15,0.2,0.1,0.14,0.1,0.08,0.15,0.07
Return on Assets %,-8.71,-3.49,-0.53,-2.74,-0.13,2.05,-2.43,-1.28,0.89,0.62,0.29
R&D,0.0,0.0,2.59,0.0,2.5,2.12,2.36,3.24,0.0,0.0,0.0
Total Current Assets,6.92,4.26,7.21,6.55,9.61,5.26,6.8,12.7,7.0,5.29,6.68
Asset Turnover,0.02,0.06,0.13,0.1,0.08,0.08,0.1,0.08,0.08,0.1,0.1
4. close,8.31,3.95,8.99,N/A,10.81,8.86,10.58,10.66,N/A,N/A,13.88
Payout Ratio % *,0.0,0.0,0.0,63.7,0.0,148.7,0.0,0.0,0.0,262.0,558.3
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97,-18.2,0.0
5-Year Average,0.0,0.0,0.0,88.46,86.35,102.19,56.64,22.61,14.58,17.22,0.0
Other Current Assets,0.29,0.45,0.91,2.92,4.15,0.61,3.49,10.22,0.21,1.72,1.09
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.96,32.05,0.0
Debt/Equity,0.75,1.06,1.23,2.9,2.83,3.07,4.41,7.07,7.39,10.33,6.44
Return on Invested Capital %,-9.86,-3.18,2.21,0.01,2.59,5.08,-0.2,1.01,3.9,3.84,3.46
Financial Leverage (Average),2.19,2.43,2.68,5.32,5.17,5.24,7.08,9.82,10.62,13.78,9.62
Short-Term Debt,5.94,3.81,0.99,1.01,2.91,1.18,1.27,1.77,2.77,2.63,1.77
Operating Income % Year over Year,0.0,0.0,121.96,63.62,18.45,11.8,32.24,74.21,-31.6,32.38,5.5
Operating Income % 5-Year Average,0.0,0.0,0.0,167.27,120.18,0.0,44.77,37.93,15.85,18.46,0.0
Cap Ex as a % of Sales,0.0,86.63,42.83,144.4,111.42,66.33,95.28,131.75,119.97,33.89,21.83
Year over Year,-27.11,337.07,247.49,66.4,21.99,9.62,21.98,2.08,18.6,36.71,36.53
Net Income % Year over Year,0.0,0.0,0.0,0.0,0.0,3328.47,0.0,0.0,0.0,-16.56,0.0
Net Int Inc & Other,-805.24,5.5,-111.41,-77.3,-38.86,-6.79,-120.25,-68.33,-29.7,-34.83,-35.04
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.97,61.5,0.0
COGS,10.47,14.06,15.9,18.01,16.33,0.0,0.0,0.0,21.09,20.92,24.45
Shares Mil,24.0,43.0,56.0,76.0,87.0,95.0,99.0,103.0,108.0,109.0,119.0
Book Value Per Share * CAD,8.47,7.8,5.83,5.02,4.8,4.78,4.14,3.56,3.08,2.94,4.36
Net Income % 5-Year Average,0.0,0.0,0.0,0.0,-5.48,0.0,0.0,0.0,0.0,84.46,0.0
Gross Margin %,89.5,85.9,84.1,82.0,83.7,100.0,100.0,0.0,78.9,79.1,75.5
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,54.1,58.78,62.68,75.78,73.82,74.54,80.71,85.53,86.89,89.58,86.44
Accounts Payable,2.77,0.0,2.11,1.39,1.1,2.1,1.36,2.76,2.05,1.52,1.99
Inventory Turnover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.95,47.8,0.0
Earnings Per Share CAD,-1.52,0.61,-1.13,-0.59,0.03,0.43,-0.63,-0.37,0.28,0.22,0.12
Days Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gross Margin,89.53,85.94,84.1,81.99,83.67,100.0,100.0,0.0,78.91,79.08,75.55
Operating Income % 3-Year Average,0.0,234.88,198.89,0.0,62.63,29.4,20.54,37.08,16.37,16.41,0.0
