year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Quick Ratio,0.17,0.66,0.18,0.52,0.54,0.4,0.5,0.27,0.4,0.55,0.32
Asset Turnover (Average),0.0,0.0,0.0,0.12,0.08,0.1,0.09,0.08,0.1,0.09,0.1
Days Sales Outstanding,0.0,0.0,0.0,17.65,38.29,31.78,20.87,21.19,26.79,43.24,34.11
Cap Spending USD Mil,-23.0,-30.0,-147.0,-66.0,-55.0,-226.0,-186.0,-285.0,-369.0,-355.0,-309.0
Intangibles,0.0,19.85,22.99,0.36,0.26,0.0,0.0,0.0,3.23,2.92,3.05
Net PP&E,96.33,77.66,75.01,88.78,92.51,92.72,93.54,94.11,91.06,87.68,85.66
Long-Term Debt,51.2,47.89,41.13,57.23,61.43,64.68,63.46,61.13,60.72,60.7,61.38
Return on Equity %,15.4,-29.12,4.2,-12.25,-1.42,1.06,1.86,0.14,-1.07,-0.78,-1.42
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Margin %,246.5,297.0,28.3,26.3,24.2,35.2,34.1,25.3,23.3,29.8,32.0
Cash Conversion Cycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R&D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest Coverage,-3.06,-1.97,1.18,-0.17,0.67,1.53,1.46,1.1,0.98,1.22,1.22
Free Cash Flow Per Share * USD,1.5,-3.48,-0.14,3.13,2.57,3.02,2.24,3.54,1.97,3.52,0.0
Net Margin %,0.0,0.0,0.0,-37.24,-7.17,4.02,3.38,0.12,-1.47,-1.22,-2.08
Operating Cash Flow Growth % YOY,38.55,0.0,0.0,165.85,14.04,87.44,-6.17,-16.0,7.48,46.84,0.0
Free Cash Flow USD Mil,66.0,-235.0,-15.0,283.0,343.0,520.0,514.0,303.0,263.0,573.0,640.0
Taxes Payable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Assets %,4.84,-7.82,0.98,-4.64,-0.58,0.41,0.32,0.01,-0.15,-0.11,-0.2
Working Capital USD Mil,-80.0,-25.0,-256.0,-400.0,-437.0,-294.0,7.0,-645.0,-826.0,-848.0,0.0
Earnings Per Share USD,1.01,-2.44,0.98,-1.79,-0.26,0.52,0.42,0.01,-0.23,-0.18,-0.34
Total Current Assets,2.23,2.49,1.99,4.32,3.08,3.56,3.5,3.08,3.27,5.39,6.09
Asset Turnover,0.0,0.0,0.0,0.12,0.08,0.1,0.09,0.08,0.1,0.09,0.1
4. close,18.76,17.58,20.13,N/A,30.12,27.3,31.71,37.73,N/A,N/A,40.65
Payout Ratio % *,116.3,0.0,379.9,0.0,0.0,596.8,357.9,777.3,0.0,0.0,0.0
EPS % 10-Year Average,0.0,0.0,-6.33,0.0,0.0,-2.4,-6.88,-32.37,0.0,0.0,0.0
Net Income USD Mil,49.0,-168.0,294.0,-451.0,-20.0,215.0,-145.0,-100.0,-61.0,-55.0,-75.0
Other Current Assets,0.35,0.36,0.39,0.74,0.0,1.46,1.76,1.38,0.76,0.95,3.58
Net Income % 10-Year Average,0.0,0.0,9.39,0.0,0.0,8.03,8.91,15.49,0.0,0.0,0.0
Debt/Equity,1.64,1.86,1.92,0.74,0.82,0.98,0.0,2.22,2.43,2.26,2.32
Return on Invested Capital %,9.15,-6.18,3.97,-0.88,1.55,3.72,4.38,2.75,2.5,2.17,2.97
Financial Leverage (Average),3.15,3.92,4.71,2.39,2.49,2.72,0.0,6.6,7.35,6.92,6.94
Short-Term Debt,7.33,0.55,2.69,7.64,5.85,5.48,2.19,7.17,6.86,10.08,5.68
Operating Income % Year over Year,0.0,0.0,0.0,0.0,-4.48,90.94,-3.27,-30.29,38.59,37.13,16.52
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,19.6,0.0
Cap Ex as a % of Sales,-76.37,-42.52,13.6,5.56,4.15,13.25,10.92,17.51,15.05,13.52,11.06
Year over Year,0.0,0.0,0.0,0.0,9.41,29.58,-0.17,-5.02,50.61,7.06,7.61
Net Income % Year over Year,6740.11,0.0,0.0,0.0,0.0,0.0,40.58,5.15,0.0,0.0,0.0
Net Int Inc & Other,-246.52,99.33,1.67,-67.76,-34.34,-22.51,-22.83,-22.67,-23.82,-24.53,-26.82
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGS,0.0,0.0,30.4,33.25,36.68,31.07,30.75,33.91,42.33,37.26,36.09
Shares Mil,48.0,70.0,262.0,133.0,133.0,133.0,139.0,143.0,156.0,174.0,180.0
Net Income % 5-Year Average,8.87,0.0,7.5,0.0,0.0,7.19,0.0,24.07,0.0,0.0,0.0
Dividends USD,1.18,1.11,1.25,1.32,1.4,1.45,1.42,1.66,1.78,1.87,1.92
Gross Margin %,100.0,100.0,69.6,66.8,63.3,68.9,69.2,66.1,57.7,62.7,63.9
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,68.7,74.23,78.54,100.0,100.0,100.0,93.78,100.0,100.0,100.0,100.0
Accounts Payable,2.98,1.64,5.01,1.5,2.28,2.21,0.25,0.4,0.61,0.7,0.41
Inventory Turnover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue USD Mil,-30.0,-71.0,1079.0,1188.0,1325.0,1706.0,1704.0,1628.0,2452.0,2625.0,2793.0
Gross Margin,100.0,100.0,69.6,66.75,63.32,68.93,69.25,66.09,57.67,62.74,63.91
Days Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,20.83,8.79,-2.23,9.83,0.0
5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15,14.65,0.0
