year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Operating Income % Year over Year,0.0,0.0,0.0,0.0,-12.5,15.27,0.64,37.94,5.5,42.65,-127.78
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,19.22,0.0
Cap Ex as a % of Sales,-461.43,-691.11,175.09,18.51,8.84,68.09,85.89,122.97,73.84,55.13,48.46
Year over Year,0.0,0.0,0.0,0.0,-5.35,-6.65,13.48,37.12,12.82,38.74,-8.49
Net Income % Year over Year,-5.33,19.82,-5.48,-87.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Int Inc & Other,0.0,0.0,-47.33,-24.84,-27.91,-29.86,-31.41,-27.24,-24.83,-23.15,-25.44
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58,0.0,0.0,0.0
COGS,0.0,-889.49,39.06,38.74,35.99,31.6,32.93,29.48,28.81,25.78,26.97
Shares Mil,38.0,38.0,38.0,38.0,38.0,38.0,38.0,52.0,65.0,76.0,76.0
Book Value Per Share * CAD,9.62,9.01,9.69,8.9,8.48,9.16,8.36,8.4,7.48,8.72,8.79
Net Income % 5-Year Average,-16.29,0.0,1.84,-28.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,0.0,989.5,60.9,61.3,64.0,68.4,67.1,70.5,71.2,74.2,73.0
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,41.69,48.22,70.12,72.49,73.51,74.41,83.91,77.62,81.52,82.35,84.52
Accounts Payable,3.55,4.4,4.8,2.92,3.89,0.92,0.53,0.42,1.79,1.06,3.64
Inventory Turnover,0.0,14.38,12.91,11.46,16.61,12.21,12.7,12.53,0.0,9.82,0.0
10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04,0.0,0.0,0.0
Earnings Per Share CAD,0.54,0.65,0.93,0.08,-0.14,-0.1,-0.31,-0.21,-0.03,0.29,0.01
Days Inventory,0.0,25.38,28.27,31.86,21.96,29.9,28.73,29.13,0.0,37.18,0.0
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gross Margin,0.0,989.49,60.94,61.26,64.01,68.4,67.07,70.52,71.19,74.22,73.03
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.5,16.97,13.56,27.57,0.0
