year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Market Capitalization,551.32,311.85,370.36,N/A,1063.71,1396.68,1775.5200000000002,2341.27,N/A,N/A,5611.08
Fixed Assets Turnover,0.27,0.24,0.25,0.33,0.23,0.28,0.32,0.29,0.25,0.3,0.29
SG&A,4.82,6.17,8.25,6.48,5.61,3.48,3.68,3.88,4.23,3.26,3.05
Current Ratio,0.75,0.92,0.44,1.75,1.34,1.25,0.87,1.08,0.9,0.88,1.08
EPS % 5-Year Average,0.0,19.08,-7.49,-12.5,-21.91,0.0,-17.06,14.87,17.08,39.18,0.0
EPS % 3-Year Average,0.0,26.53,-12.17,0.0,-51.52,-30.66,15.73,67.11,84.55,14.88,0.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,0.29,0.84,2.0,1.96,1.63,2.76,2.79,3.02,1.79,1.95,2.01
Payables Period,92.52,122.68,127.75,47.91,31.07,19.68,23.07,33.13,40.96,39.66,22.12
Cap Spending CAD Mil,-46.0,-11.0,-21.0,-61.0,-78.0,-158.0,-432.0,-204.0,-406.0,-740.0,-683.0
Accounts Receivable,2.93,2.64,2.88,3.69,3.32,4.54,4.67,3.74,2.3,2.91,2.3
Cash & Short-Term Investments,0.6,1.43,0.9,5.75,1.91,0.4,0.23,2.49,1.34,0.52,0.42
Free Cash Flow Growth % YOY,-70.05,82.15,-37.28,-63.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow Per Share * CAD,0.28,0.48,0.26,0.35,-0.09,-0.22,-1.09,-0.16,-0.05,-0.95,0.0
Quick Ratio,0.69,0.81,0.3,1.46,0.84,0.7,0.52,0.79,0.55,0.51,0.6
Asset Turnover (Average),0.22,0.2,0.19,0.24,0.18,0.22,0.25,0.23,0.17,0.21,0.21
Net Income CAD Mil,-19.0,31.0,18.0,23.0,15.0,20.0,76.0,117.0,131.0,193.0,222.0
Intangibles,9.96,9.32,7.53,5.07,4.26,4.0,3.56,3.78,4.5,11.96,11.27
Net PP&E,82.3,81.31,74.33,73.75,77.84,78.0,79.68,77.6,59.28,75.09,70.71
Operating Income CAD Mil,35.0,28.0,21.0,54.0,42.0,103.0,138.0,182.0,234.0,478.0,492.0
Long-Term Debt,44.95,15.35,36.66,36.44,33.58,0.0,33.57,32.06,55.44,39.37,40.92
Return on Equity %,-5.39,16.69,5.2,5.42,2.09,2.48,6.17,7.08,7.03,7.45,7.59
Inventory,0.0,0.0,0.0,0.21,0.85,0.23,1.05,0.57,0.26,1.07,0.96
Operating Margin %,16.4,15.1,11.9,19.8,12.0,15.3,14.7,17.7,21.4,24.2,23.6
Cash Conversion Cycle,0.0,0.0,0.0,5.45,54.52,59.78,57.97,53.52,36.26,28.19,45.24
Interest Coverage,0.17,2.22,0.99,1.14,1.27,2.14,2.16,2.97,1.98,2.12,2.06
Net Margin %,-8.9,33.35,10.74,8.45,3.72,3.01,7.02,10.42,11.0,9.24,10.14
Operating Cash Flow Growth % YOY,-6.04,-25.62,-9.16,54.26,-9.63,57.06,94.81,35.88,9.69,59.37,0.0
Dividends CAD,0.81,0.24,0.24,0.27,0.29,0.33,0.37,0.49,0.55,0.61,0.61
Days Sales Outstanding,46.72,49.5,49.63,47.15,66.49,66.77,66.78,66.63,62.66,45.82,38.83
Taxes Payable,0.06,0.0,0.02,0.03,0.02,0.17,0.1,0.0,0.0,0.0,0.0
Return on Assets %,-1.97,6.58,2.06,2.07,0.68,0.65,1.75,2.35,1.82,1.95,2.17
R&D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Current Assets,3.82,4.6,5.57,11.29,8.4,8.75,8.14,8.49,5.96,5.94,4.88
Asset Turnover,0.22,0.2,0.19,0.24,0.18,0.22,0.25,0.23,0.17,0.21,0.21
4. close,7.16,3.85,3.94,N/A,6.69,6.78,8.22,9.11,N/A,N/A,13.11
Payout Ratio % *,0.0,30.4,114.3,55.3,295.0,464.3,587.7,109.7,126.0,123.1,122.0
EPS % 10-Year Average,0.0,7.88,-9.01,1.64,-10.73,-20.1,-0.62,3.08,1.21,4.25,0.0
5-Year Average,6.75,3.13,0.39,6.55,14.72,25.86,38.19,41.24,31.7,39.84,0.0
Other Current Assets,0.29,0.53,1.79,1.65,2.32,3.58,2.19,1.69,2.06,1.44,1.2
Net Income % 10-Year Average,0.0,24.1,3.92,13.04,-1.05,-7.55,12.75,18.35,16.7,23.35,0.0
Debt/Equity,1.27,0.35,1.03,0.88,0.96,0.0,0.97,0.86,2.49,1.2,1.2
Return on Invested Capital %,-0.01,10.88,5.6,4.78,2.78,7.19,4.6,5.0,4.5,4.95,4.91
Financial Leverage (Average),2.86,2.26,2.81,2.49,3.47,4.14,3.15,2.9,4.82,3.3,3.11
Short-Term Debt,1.31,0.36,7.29,0.21,0.08,0.0,0.24,0.19,0.13,0.16,0.16
Operating Income % Year over Year,0.0,-16.04,-18.32,57.07,19.28,128.84,33.5,31.89,28.86,103.81,-19.32
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,24.08,36.13,49.82,44.01,60.29,0.0
Cap Ex as a % of Sales,21.31,5.83,11.55,22.44,22.34,23.45,45.92,19.87,37.02,37.42,32.82
Year over Year,14.84,-12.41,-2.34,51.27,33.71,82.57,39.73,8.93,6.63,80.45,-19.19
Net Income % Year over Year,0.0,0.0,-68.56,19.05,-37.85,39.66,272.98,55.19,11.44,47.49,0.0
Net Int Inc & Other,-26.67,-6.56,-13.19,-17.77,-10.11,-6.33,-6.96,-5.03,-9.58,-12.73,-13.96
Operating Income % 10-Year Average,33.69,21.65,7.53,25.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGS,56.35,54.86,52.95,57.31,68.26,66.98,69.55,63.85,57.33,56.08,57.23
Shares Mil,77.0,81.0,94.0,117.0,159.0,206.0,216.0,257.0,274.0,386.0,428.0
Book Value Per Share * CAD,4.41,4.75,3.66,3.3,4.24,3.92,4.56,5.92,5.87,6.06,6.07
Net Income % 5-Year Average,0.0,22.33,-2.06,-3.51,-9.3,0.0,3.92,43.01,41.13,67.76,0.0
Gross Margin %,43.6,45.1,47.1,42.7,31.7,33.0,30.4,36.2,42.7,43.9,42.8
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,64.59,55.88,64.43,58.67,60.0,67.75,59.86,58.02,74.98,65.13,63.66
Accounts Payable,3.53,3.8,3.42,0.67,1.49,0.49,1.81,1.09,1.18,1.54,0.66
Inventory Turnover,0.0,0.0,0.0,58.79,19.11,28.77,25.61,18.24,25.06,16.57,12.8
10-Year Average,38.55,25.47,14.68,19.92,14.59,15.91,19.38,19.08,18.46,26.66,0.0
Earnings Per Share CAD,-0.25,0.39,0.19,0.2,0.09,0.07,0.31,0.42,0.44,0.47,0.5
Days Inventory,0.0,0.0,0.0,6.21,19.1,12.69,14.25,20.01,14.56,22.03,28.53
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gross Margin,43.65,45.14,47.05,42.69,31.74,33.02,30.45,36.15,42.67,43.92,42.77
Operating Income % 3-Year Average,0.0,0.0,0.0,2.51,15.24,62.46,53.89,59.13,31.4,51.3,0.0
