year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Days Sales Outstanding,47.1,48.43,44.62,63.01,57.0,40.63,39.02,42.13,35.16,38.11,34.77
Cap Spending USD Mil,-2.0,-4.0,-47.0,-115.0,-459.0,-44.0,-13.0,-12.0,-7.0,-5.0,-2.0
Intangibles,34.12,34.03,28.53,34.11,21.47,22.03,19.84,25.82,19.37,18.34,17.58
Net PP&E,37.65,35.41,27.19,42.74,51.35,53.41,57.38,45.29,50.33,51.98,53.67
Long-Term Debt,62.83,41.71,46.05,49.13,49.99,51.71,64.57,67.05,68.77,76.48,77.96
Return on Equity %,71.71,-5.42,-0.83,-5.81,-13.91,-4.93,-36.79,-21.89,-87.9,-426.84,-397.3
Inventory,0.0,0.0,0.0,0.57,0.42,0.47,0.66,0.98,1.1,1.53,1.31
Operating Margin %,33.1,13.6,0.0,-27.5,0.1,-3.7,1.3,2.6,2.1,23.2,13.8
Cash Conversion Cycle,0.0,0.0,0.0,60.3,56.59,41.66,47.95,62.36,61.4,84.46,92.78
R&D,0.0,0.0,0.0,0.0,0.0,1.52,0.76,0.26,0.0,0.0,0.0
Interest Coverage,2.77,0.1,1.51,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow Per Share * USD,1.93,0.93,0.54,-0.43,-2.5,0.22,0.36,0.85,1.15,1.65,0.0
Net Margin %,33.12,-6.34,-1.92,-13.48,-25.61,-5.98,-31.17,-14.85,-30.66,-22.88,-16.57
Operating Cash Flow Growth % YOY,24.85,-41.73,39.15,-35.67,198.7,-8.79,-57.35,34.46,27.92,51.34,0.0
Free Cash Flow USD Mil,105.0,59.0,40.0,-59.0,-292.0,107.0,52.0,75.0,104.0,164.0,160.0
Taxes Payable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Assets %,9.91,-1.67,-0.37,-1.8,-3.11,-0.89,-5.62,-2.69,-7.71,-7.54,-4.82
Working Capital USD Mil,19.0,72.0,57.0,8.0,26.0,-16.0,102.0,68.0,14.0,36.0,0.0
Earnings Per Share USD,0.73,-0.63,-0.06,-0.5,-0.97,-0.28,-1.47,-0.51,-1.02,-0.86,-0.52
Total Current Assets,12.98,14.39,11.72,6.18,14.03,11.0,7.74,9.34,11.32,14.58,12.76
Asset Turnover,0.3,0.26,0.19,0.13,0.12,0.15,0.18,0.18,0.25,0.33,0.29
4. close,N/A,N/A,13.65,N/A,13.87,4.27,4.03,2.96,N/A,N/A,2.81
Payout Ratio % *,59.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income USD Mil,48.0,-38.0,-4.0,-35.0,-100.0,-20.0,-166.0,-54.0,-114.0,-93.0,-58.0
Other Current Assets,2.95,2.25,2.91,1.21,10.07,3.84,1.33,1.62,1.78,1.63,1.47
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Debt/Equity,3.71,0.9,1.08,1.79,2.58,2.66,4.85,4.69,13.15,0.0,0.0
Return on Invested Capital %,17.7,3.41,1.65,-0.06,-4.25,-1.25,-7.72,-3.73,-10.84,-10.78,-6.93
Financial Leverage (Average),5.91,2.16,2.36,3.64,5.49,5.58,8.19,8.03,22.55,0.0,0.0
Short-Term Debt,6.9,2.83,2.14,0.65,5.0,8.26,0.99,1.06,9.06,10.54,9.05
Operating Income % Year over Year,304.29,-56.6,11.28,-22.91,-99.3,0.0,0.0,-54.51,-24.32,1092.86,-107.71
Operating Income % 5-Year Average,349.56,57.29,3.44,-9.66,-59.75,0.0,-8.32,-23.34,-23.63,238.04,0.0
Cap Ex as a % of Sales,1.03,2.02,0.0,122.58,106.82,9.46,2.74,2.88,1.8,1.23,0.68
Year over Year,9.15,-13.75,-32.27,45.91,54.58,25.28,3.17,-26.18,-5.0,7.97,-46.61
Net Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Int Inc & Other,-13.19,-43.79,425.78,-58.79,-33.62,-8.2,-39.03,-29.89,-34.29,-58.31,-38.87
Operating Income % 10-Year Average,0.0,11.8,11.11,150.64,36.07,0.0,20.08,-10.95,-16.93,16.65,0.0
COGS,31.85,33.16,18.36,39.94,38.37,41.04,42.95,39.29,37.45,24.66,25.54
Shares Mil,66.0,66.0,62.0,78.0,116.0,120.0,121.0,122.0,120.0,115.0,128.0
Net Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dividends USD,1.0,0.97,1.06,1.12,1.15,0.51,0.27,0.09,0.0,0.0,0.0
Gross Margin %,68.1,66.8,81.6,60.1,61.6,59.0,57.1,60.7,62.6,75.3,74.5
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,83.07,53.77,57.42,65.71,74.76,73.48,78.43,85.7,94.77,101.95,102.14
Accounts Payable,2.76,3.13,2.03,0.56,0.47,0.45,0.41,0.46,0.36,0.23,0.16
Inventory Turnover,0.0,0.0,0.0,5.05,9.53,12.1,11.92,9.12,9.09,6.31,5.4
10-Year Average,0.0,6.45,1.48,112.15,121.36,110.08,40.87,8.57,5.1,3.48,0.0
Revenue USD Mil,174.0,180.0,1.0,94.0,430.0,473.0,489.0,420.0,399.0,431.0,355.0
Gross Margin,68.15,66.84,81.64,60.06,61.63,58.96,57.05,60.71,62.55,75.34,74.46
Days Inventory,0.0,0.0,0.0,72.34,38.3,30.18,30.62,40.02,40.16,57.86,67.48
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Operating Income % 3-Year Average,34.84,-11.14,24.98,-28.06,-81.8,0.0,-8.95,265.68,0.0,60.14,0.0
5-Year Average,258.68,73.21,1.12,3.24,7.54,10.54,14.58,16.57,6.98,-0.43,0.0
