year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Days Sales Outstanding,31.63,34.94,39.21,32.56,34.71,34.47,34.63,38.78,37.24,40.29,42.43
Cap Spending USD Mil,-10.0,-14.0,-20.0,-17.0,-24.0,-34.0,-20.0,-31.0,-23.0,-41.0,-42.0
Intangibles,20.17,20.07,17.84,15.52,15.59,14.4,10.88,35.82,36.04,28.67,27.07
Net PP&E,19.04,20.54,19.69,19.12,19.88,22.39,21.05,14.48,14.36,16.66,16.41
Long-Term Debt,17.56,7.06,8.29,2.77,7.43,6.19,5.4,26.46,20.32,23.03,22.17
Return on Equity %,-4.54,-2.94,23.31,1.79,7.75,-2.62,3.93,-5.9,-13.46,-47.16,-46.87
Inventory,34.54,32.31,32.85,38.14,36.16,38.85,41.23,30.45,32.62,36.14,37.59
Operating Margin %,1.4,1.5,5.2,3.4,4.0,3.0,3.6,1.0,1.2,0.5,1.0
Cash Conversion Cycle,80.17,77.87,75.04,77.72,97.31,95.5,93.78,115.44,117.94,127.07,110.58
R&D,0.0,0.0,0.0,0.0,0.06,0.02,0.02,0.68,0.02,0.0,0.0
Interest Coverage,0.0,0.18,2.91,3.18,4.69,0.89,2.96,0.34,-1.32,-4.72,0.0
Free Cash Flow Per Share * USD,0.44,0.51,-0.29,-0.63,0.1,-0.3,0.47,-0.77,-0.52,-0.17,0.0
Net Margin %,-1.04,-0.68,6.79,0.49,2.22,-0.72,1.05,-1.96,-3.94,-11.19,-11.16
Operating Cash Flow Growth % YOY,0.0,0.33,-0.97,0.0,0.0,-0.03,-0.17,0.26,-0.95,20.27,0.0
Free Cash Flow USD Mil,23.0,31.0,-19.0,-23.0,7.0,-4.0,5.0,0.0,-21.0,-10.0,-31.0
Taxes Payable,0.0,0.0,0.16,0.2,0.6,0.37,0.49,0.14,0.5,0.14,0.19
Return on Assets %,-1.91,-1.19,10.52,0.85,3.62,-1.21,1.95,-2.42,-4.51,-13.56,-12.81
Working Capital USD Mil,143.0,84.0,98.0,96.0,128.0,133.0,193.0,217.0,158.0,119.0,0.0
Earnings Per Share USD,-0.17,-0.1,0.92,0.08,0.36,-0.13,0.19,-0.31,-0.62,-1.66,-1.61
Total Current Assets,57.85,56.2,54.57,57.85,57.61,59.46,66.99,48.97,48.66,53.82,55.78
Asset Turnover,1.84,1.75,1.55,1.74,1.63,1.67,1.85,1.23,1.15,1.21,1.15
4. close,6.45,3.63,5.84,N/A,5.18,9.33,14.37,12.39,N/A,N/A,10.72
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 10-Year Average,0.0,0.0,20.72,67.42,14.87,0.0,-0.51,0.0,0.0,0.0,0.0
Net Income USD Mil,-11.0,-7.0,61.0,5.0,24.0,-9.0,13.0,-22.0,-51.0,-135.0,-131.0
Other Current Assets,2.57,2.95,5.07,4.18,4.21,2.96,4.22,6.92,1.75,3.38,3.53
Net Income % 10-Year Average,0.0,0.0,39.11,75.6,20.46,0.0,1.75,0.0,0.0,0.0,0.0
Debt/Equity,0.44,0.16,0.17,0.06,0.16,0.13,0.1,0.76,0.62,0.94,0.97
Return on Invested Capital %,-2.67,1.29,16.46,2.64,6.28,-0.7,3.82,-2.58,-3.96,-17.03,-17.7
Financial Leverage (Average),2.56,2.37,2.09,2.11,2.17,2.17,1.88,2.9,3.08,4.09,4.38
Short-Term Debt,14.02,21.7,16.58,23.54,20.0,21.52,15.49,13.31,18.07,24.1,27.88
Operating Income % Year over Year,17.49,124.28,265.62,-29.81,58.13,-18.4,17.12,-72.91,32.51,-59.48,21.39
Operating Income % 5-Year Average,0.0,-5.73,22.16,4.34,60.63,49.33,31.14,-22.07,-11.51,-32.61,0.0
Cap Ex as a % of Sales,0.98,1.66,2.45,1.71,2.34,3.42,1.81,2.72,1.68,3.22,3.38
Year over Year,31.16,-6.26,-9.12,20.37,0.83,8.33,5.13,-7.84,17.6,-4.99,-5.1
Net Income % Year over Year,0.0,0.0,0.0,-91.33,357.4,0.0,0.0,0.0,0.0,0.0,0.0
Net Int Inc & Other,-2.32,-3.04,-2.15,-0.71,-0.92,-3.06,-0.72,-1.61,-6.69,-13.82,-13.76
Operating Income % 10-Year Average,23.73,25.65,32.09,37.18,24.37,0.0,11.19,-2.43,-3.91,4.04,0.0
COGS,85.21,86.68,84.43,88.11,88.06,89.81,88.93,90.36,90.65,88.66,89.34
Shares Mil,64.0,65.0,66.0,67.0,67.0,68.0,68.0,72.0,86.0,86.0,87.0
Net Income % 5-Year Average,0.0,0.0,35.12,-13.54,126.43,0.0,0.0,0.0,0.0,0.0,0.0
Dividends USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,14.8,13.3,15.6,11.9,11.9,10.2,11.1,9.6,9.4,11.3,10.7
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,59.92,56.69,51.13,51.41,52.73,52.76,45.78,65.32,60.43,67.31,69.2
Accounts Payable,13.24,19.76,20.83,13.31,12.51,13.41,14.31,9.13,7.9,9.69,16.39
Inventory Turnover,4.69,4.44,3.99,4.31,3.86,3.96,4.08,3.26,3.3,3.14,2.91
10-Year Average,53.74,40.63,29.5,28.25,24.61,19.5,15.03,10.39,8.46,4.75,0.0
Revenue USD Mil,1055.0,819.0,832.0,1020.0,1044.0,999.0,1103.0,1145.0,1347.0,1280.0,1245.0
Gross Margin,14.79,13.32,15.57,11.89,11.94,10.19,11.07,9.64,9.35,11.34,10.66
Days Inventory,77.83,82.28,91.53,84.71,94.67,92.06,89.41,112.08,110.58,116.38,125.5
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Operating Income % 3-Year Average,-30.77,-21.6,112.78,79.21,59.51,-3.25,14.76,-36.27,-25.09,-47.41,0.0
5-Year Average,39.59,26.43,16.1,12.59,6.28,2.29,4.67,4.96,4.47,3.24,0.0
