year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
4. close,4.76,1.94,1.78,N/A,1.07,2.07,4.37,1.65,N/A,N/A,4.13
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 10-Year Average,44.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income USD Mil,31.0,-3.0,-32.0,-33.0,-42.0,-20.0,-28.0,-6.0,-21.0,-8.0,-14.0
Other Current Assets,0.69,1.08,0.5,0.57,9.26,0.71,1.01,1.04,1.62,1.22,1.37
Net Income % 10-Year Average,52.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Debt/Equity,0.0,0.01,0.1,0.16,0.21,0.15,0.11,0.06,0.05,0.05,0.05
Return on Invested Capital %,16.25,-2.01,-22.4,-24.79,-39.46,-21.46,-30.62,-4.7,-16.03,-5.78,-10.66
Financial Leverage (Average),1.29,1.23,1.48,1.73,2.04,1.68,1.56,1.41,1.47,1.48,1.46
Short-Term Debt,0.0,0.0,0.0,2.73,9.31,0.0,0.0,0.31,0.28,0.0,0.0
Operating Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.41
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap Ex as a % of Sales,5.98,14.51,5.31,7.36,2.67,0.79,6.17,6.88,8.07,5.31,4.23
Year over Year,-9.08,-21.58,39.16,16.9,-42.52,40.19,12.2,-17.84,51.02,42.24,-0.29
Net Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Int Inc & Other,138.49,89.94,10.88,-3.93,-28.72,-4.47,-11.01,31.69,-6.49,-2.06,-2.31
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGS,79.61,87.31,84.42,86.95,83.13,72.64,85.09,82.34,71.64,65.7,67.28
Shares Mil,86.0,84.0,84.0,84.0,88.0,100.0,127.0,140.0,163.0,176.0,179.0
Net Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dividends USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,20.4,12.7,15.6,13.1,16.9,27.4,14.9,17.7,28.4,34.3,32.7
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,22.6,18.65,32.55,43.35,52.7,41.08,37.29,30.28,33.15,32.54,31.48
Accounts Payable,3.01,3.41,4.44,6.06,3.98,4.69,4.62,5.5,3.2,7.42,6.76
Inventory Turnover,3.75,4.17,5.09,4.78,2.92,3.51,4.39,2.83,3.25,4.62,3.33
10-Year Average,13.91,7.4,9.03,2.27,-7.07,-6.47,-1.68,0.5,5.52,6.35,0.0
Revenue USD Mil,60.0,47.0,65.0,56.0,44.0,61.0,69.0,56.0,85.0,121.0,119.0
Gross Margin,20.39,12.69,15.58,13.05,16.87,27.36,14.91,17.66,28.36,34.3,32.72
Days Inventory,97.26,87.55,71.76,76.37,125.07,104.04,83.1,129.18,112.32,79.06,109.5
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Year Average,-13.0,-10.5,3.89,8.81,-7.79,0.55,8.02,-2.78,2.33,22.66,0.0
