year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Operating Cash Flow Growth % YOY,0.0,-0.07,1.74,0.0,0.0,4.42,0.53,-0.07,2.52,0.15,0.0
Free Cash Flow USD Mil,21.0,20.0,63.0,-47.0,-5.0,9.0,35.0,34.0,125.0,119.0,22.0
Taxes Payable,0.0,0.0,0.0,0.57,0.75,0.04,0.0,1.21,0.21,0.37,0.0
Return on Assets %,9.7,-3.43,0.46,2.28,1.1,2.63,2.35,3.71,6.95,10.08,9.91
Working Capital USD Mil,-37.0,64.0,67.0,20.0,15.0,99.0,112.0,165.0,273.0,371.0,0.0
Earnings Per Share USD,22.7,-6.4,0.5,0.81,0.21,0.51,0.48,0.96,2.08,3.03,3.02
Total Current Assets,33.22,33.22,30.14,25.81,28.32,38.14,40.97,39.89,42.21,40.23,41.3
Asset Turnover,1.06,1.24,1.17,1.1,0.99,1.18,1.28,1.06,1.27,1.25,1.27
4. close,N/A,N/A,N/A,N/A,7.35,11.3,13.56,19.12,N/A,N/A,51.01
Payout Ratio % *,0.0,0.0,0.0,0.0,338.9,159.3,89.6,57.7,37.2,34.5,34.9
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,-26.98,-19.25,0.0,0.0,0.0
Net Income USD Mil,88.0,-30.0,2.0,16.0,9.0,27.0,27.0,54.0,125.0,191.0,191.0
Other Current Assets,2.53,1.66,3.39,0.58,0.53,0.67,0.45,0.37,0.83,1.19,0.95
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,10.27,17.14,0.0,0.0,0.0
Debt/Equity,1.72,3.79,4.31,0.46,0.52,0.44,0.45,1.12,0.77,0.77,0.78
Return on Invested Capital %,32.49,0.88,8.06,8.71,3.69,5.68,5.12,6.55,11.64,16.04,15.81
Financial Leverage (Average),6.09,8.64,8.56,2.38,2.61,2.5,2.51,3.66,2.89,2.57,2.51
Short-Term Debt,9.97,0.0,0.0,1.03,4.46,3.08,3.52,10.16,4.66,0.5,0.0
Operating Income % Year over Year,88.63,12.88,-5.71,0.78,-57.31,62.99,11.27,64.13,127.59,19.97,3.98
Operating Income % 5-Year Average,0.0,83.07,60.37,15.37,-2.89,-5.69,-5.96,5.07,23.66,52.05,0.0
Cap Ex as a % of Sales,0.71,0.5,0.74,0.9,1.27,1.75,0.75,0.57,1.1,2.23,2.79
Year over Year,128.3,14.41,-10.56,-5.83,-5.78,37.4,20.98,6.05,47.78,4.74,9.72
Net Income % Year over Year,0.0,0.0,0.0,395.53,-49.17,174.25,-0.16,101.71,131.74,53.22,0.0
Net Int Inc & Other,2.8,-8.32,-6.96,-5.05,-2.39,-1.38,-1.34,-1.16,-0.84,-0.58,-0.79
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,26.45,29.81,19.45,21.51,0.0
COGS,85.39,86.66,87.95,87.59,91.47,89.93,90.47,87.17,82.44,81.05,81.24
Shares Mil,4.0,5.0,5.0,20.0,52.0,52.0,56.0,56.0,60.0,63.0,63.0
Net Income % 5-Year Average,0.0,0.0,-18.95,0.0,0.0,-21.12,0.0,69.31,45.43,81.34,0.0
Dividends USD,0.0,0.0,0.0,0.35,0.75,0.56,0.53,0.47,0.68,0.95,1.06
Gross Margin %,14.6,13.3,12.0,12.4,8.5,10.1,9.5,12.8,17.6,19.0,18.8
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,83.58,88.43,88.32,58.0,61.66,59.93,60.16,72.7,65.42,61.11,60.17
Accounts Payable,0.0,0.0,0.0,17.49,16.81,18.75,20.51,15.41,17.64,16.18,17.02
Inventory Turnover,6.35,6.68,7.57,9.2,7.32,7.0,6.35,4.6,5.22,5.33,5.25
10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,24.01,22.1,14.11,18.92,0.0
Revenue USD Mil,961.0,1100.0,984.0,926.0,865.0,1199.0,1451.0,1539.0,2274.0,2382.0,2448.0
Gross Margin,14.61,13.34,12.05,12.41,8.53,10.07,9.53,12.83,17.56,18.95,18.76
Days Inventory,57.47,54.6,48.19,39.67,49.88,52.12,57.46,79.42,69.93,68.45,69.47
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Operating Income % 3-Year Average,115.21,29.1,26.15,2.36,-25.98,-11.16,-8.18,43.85,60.78,64.87,0.0
5-Year Average,0.0,51.43,36.32,8.8,15.7,4.53,5.7,9.36,19.67,22.23,0.0
