year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Operating Income CAD Mil,92.0,255.0,154.0,16.0,106.0,172.0,164.0,240.0,219.0,173.0,220.0
Other,5.3,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Receivables Turnover,6.27,6.46,7.17,6.96,7.74,8.3,8.02,8.26,7.92,8.21,6.98
Net Margin %,-1.37,1.55,0.43,2.73,-0.3,0.29,-4.13,-1.68,3.37,11.73,3.99
SG&A,9.68,10.65,10.25,9.99,10.48,9.94,9.38,9.32,10.05,10.18,10.11
Asset Turnover (Average),1.03,0.99,1.05,0.97,0.98,1.02,0.95,1.03,1.04,1.05,0.95
Accrued Liabilities,0.0,0.0,0.0,0.0,2.04,2.47,3.93,3.78,3.89,3.38,0.0
Intangibles,11.49,12.68,12.46,13.75,14.48,13.81,14.1,13.51,13.66,16.89,16.14
Cap Ex as a % of Sales,4.75,4.46,4.12,3.89,5.49,4.78,5.05,4.22,4.55,4.47,5.4
EPS % 10-Year Average,0.0,-3.54,-16.71,-3.59,0.0,-16.4,0.0,0.0,42.59,18.51,0.0
Free Cash Flow Growth % YOY,0.0,0.0,-0.46,1.66,-0.99,22.67,-0.28,1.37,0.57,0.0,0.0
Financial Leverage (Average),3.21,2.9,2.96,3.63,3.78,3.54,4.11,4.44,3.88,3.01,3.0
Free Cash Flow/Sales %,-0.42,4.67,3.08,7.2,0.08,2.11,1.43,3.13,4.75,-0.46,0.58
Free Cash Flow Per Share * CAD,-0.17,1.81,1.01,3.81,0.03,0.63,0.55,0.93,1.69,0.65,0.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gross Margin,17.28,22.85,15.08,10.43,13.39,15.04,13.98,15.54,15.52,14.19,15.04
5-Year Average,3.1,3.57,2.73,1.27,-1.49,-0.85,-1.69,-0.5,1.99,3.46,0.0
Net Income CAD Mil,-54.0,60.0,41.0,99.0,-22.0,11.0,-147.0,-65.0,135.0,507.0,178.0
Other Long-Term Assets,7.02,8.36,9.4,10.43,11.72,13.16,15.03,15.46,15.63,7.37,6.71
