year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,0.0,0.0,0.0,0.0,0.0,-13.7,10.0,-149.0,-131.9,-146.3,-278.7
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EPS % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Assets %,0.0,0.0,0.0,-18.63,-88.19,-8.41,-57.57,-61.8,-198.89,-135.34,-98.37
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Margin %,0.0,0.0,0.0,0.0,0.0,-41.5,-41.6,-488.1,-411.6,-459.4,-622.4
Total Liabilities,0.0,0.0,0.0,31.63,20.31,35.2,36.97,74.28,357.49,424.44,350.04
Days Sales Outstanding,0.0,0.0,0.0,0.0,0.0,0.0,16.51,145.68,115.92,102.0,386.89
Return on Equity %,0.0,0.0,0.0,-27.26,-120.71,-11.7,-91.32,-158.45,0.0,0.0,0.0
Short-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,8.02,3.64,123.93,173.25,126.95
EPS % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap Spending CAD Mil,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,0.0,0.0,0.0
Total Current Assets,0.0,0.0,0.0,46.07,100.0,46.89,61.34,30.2,41.08,46.1,53.99
Earnings Per Share CAD,0.0,0.0,0.0,-0.02,-0.03,-0.35,-0.09,-0.2,-0.39,-0.09,-0.07
Long-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,29.73,0.0,0.0
Inventory Turnover,0.0,0.0,0.0,0.0,0.0,0.0,4.69,2.82,2.95,2.62,2.06
Working Capital CAD Mil,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,-27.0,-35.0,0.0
Quick Ratio,0.0,0.0,0.0,1.46,2.18,1.33,0.88,0.24,0.01,0.02,0.03
Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.59,-20.85,-43.05,-72.36
Accounts Payable,0.0,0.0,0.0,0.0,0.0,0.0,23.34,17.85,130.64,0.0,148.01
Revenue,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
Revenue CAD Mil,0.0,0.0,0.0,0.0,0.0,4.0,11.0,2.0,2.0,1.0,1.0
Operating Cash Flow CAD Mil,0.0,0.0,0.0,-0.0,-0.0,-0.0,-7.0,-6.0,-5.0,-3.0,-8.0
Days Inventory,0.0,0.0,0.0,0.0,0.0,0.0,77.76,129.41,123.73,139.23,176.79
Net PP&E,0.0,0.0,0.0,0.0,0.0,0.0,15.56,7.52,20.16,14.08,9.96
Operating Income CAD Mil,0.0,0.0,0.0,-0.0,-0.0,-2.0,-4.0,-11.0,-7.0,-5.0,-5.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.92,30.99,-4.89,0.0,0.0
Receivables Turnover,0.0,0.0,0.0,0.0,0.0,0.0,22.1,2.51,3.15,3.58,0.94
Net Margin %,0.0,0.0,0.0,0.0,0.0,0.0,-47.52,-695.75,0.0,0.0,0.0
SG&A,0.0,0.0,0.0,0.0,0.0,27.81,43.76,297.32,282.16,272.02,325.63
Asset Turnover (Average),0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.09,0.08,0.1,0.07
Accrued Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,43.48,76.11,43.53
Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,23.1,11.85,0.0,0.0,0.0
Cap Ex as a % of Sales,0.0,0.0,0.0,0.0,0.0,0.0,4.79,14.38,0.0,0.0,0.0
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow/Sales %,0.0,0.0,0.0,0.0,0.0,-0.77,-68.73,-282.34,-293.09,-275.56,0.0
Free Cash Flow Per Share * CAD,0.0,0.0,0.0,0.0,0.0,-0.02,-0.14,-0.39,0.12,0.0,0.0
Total Assets,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gross Margin,0.0,0.0,0.0,0.0,0.0,-13.74,9.97,-148.97,-131.92,-146.32,-278.73
Net Income CAD Mil,0.0,0.0,0.0,-0.0,-0.0,-2.0,-5.0,-15.0,-15.0,-9.0,-8.0
Other Long-Term Assets,0.0,0.0,0.0,53.93,0.0,53.11,0.0,50.44,38.76,39.82,36.06
