year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Cap Spending USD Mil,0.0,0.0,0.0,0.0,-6.0,-2.0,-0.0,-1.0,-1.0,-0.0,0.0
Free Cash Flow/Net Income,0.0,0.0,0.03,0.05,1.08,0.89,0.87,0.46,0.91,0.74,0.73
3-Year Average,0.0,0.0,0.0,0.0,0.0,11.87,-3.2,-9.31,-15.78,-1.72,0.0
Cash & Short-Term Investments,0.0,0.0,82.4,80.91,78.99,77.33,77.21,81.28,57.28,31.14,79.69
EPS % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.67
Net Margin %,0.0,0.0,-309.8,0.0,-58.46,-66.42,-77.03,-98.89,-70.08,-36.02,-22.51
Fixed Assets Turnover,0.0,0.0,9.4,3.33,1.63,1.71,1.54,1.43,1.59,2.38,2.96
Tax Rate %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Invested Capital %,0.0,0.0,0.0,0.0,-9.91,-14.15,-15.99,-18.66,-14.43,-11.64,-9.37
Asset Turnover,0.0,0.0,0.37,0.24,0.16,0.2,0.2,0.18,0.19,0.28,0.34
Free Cash Flow Per Share * USD,0.0,0.0,0.0,-1.67,-0.22,-0.28,-0.27,-0.2,-0.19,-0.11,0.0
Net Int Inc & Other,0.0,0.0,12.23,0.0,1.85,1.61,1.76,-15.12,3.78,3.73,3.93
Debt/Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,4.66,7.84,5.78,6.22,6.31,4.4,4.78,4.13,4.83
Operating Income USD Mil,0.0,0.0,-2.0,-6.0,-12.0,-15.0,-15.0,-12.0,-10.0,-7.0,-5.0
Market Capitalization,N/A,N/A,N/A,N/A,181.5,257.03999999999996,100.89,88.74,N/A,N/A,110.4
Operating Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.71
COGS,0.0,0.0,75.11,76.06,80.27,83.76,83.17,85.72,83.42,79.48,80.39
Free Cash Flow USD Mil,0.0,0.0,-2.0,-14.0,-12.0,-13.0,-13.0,-7.0,-8.0,-5.0,-3.0
Financial Leverage,0.0,0.0,0.0,1.05,1.04,1.04,1.02,1.04,1.05,1.05,1.04
R&D,0.0,0.0,6.62,12.12,22.42,26.16,29.56,26.54,37.21,26.34,16.36
Net Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Long-Term Liabilities,0.0,0.0,320.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,0.0,0.0,24.9,23.9,19.7,16.2,16.8,14.3,16.6,20.5,19.6
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EPS % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Assets %,0.0,0.0,-115.18,-291.52,-9.19,-13.29,-15.18,-17.82,-13.11,-10.02,-7.64
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Margin %,0.0,0.0,-12.2,-29.2,-60.3,-68.0,-78.8,-83.8,-73.9,-39.8,-26.4
Financial Leverage (Average),0.0,0.0,0.0,1.05,1.04,1.04,1.02,1.04,1.05,1.05,1.04
Total Liabilities,0.0,0.0,331.97,4.7,3.82,3.79,1.8,3.4,5.18,4.87,3.66
Days Sales Outstanding,0.0,0.0,62.97,51.46,69.31,63.79,54.28,41.56,42.52,40.08,35.4
Return on Equity %,0.0,0.0,0.0,0.0,-9.6,-13.82,-15.63,-18.29,-13.69,-10.55,-7.97
Short-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings Per Share USD,0.0,0.0,-61.78,-10.93,-0.21,-0.26,-0.26,-0.25,-0.16,-0.11,-0.08
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Current Assets,0.0,0.0,95.94,91.76,88.7,87.61,86.52,88.29,65.83,88.41,88.93
Working Capital USD Mil,0.0,0.0,36.0,114.0,100.0,87.0,74.0,63.0,41.0,51.0,0.0
Long-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory Turnover,0.0,0.0,5.99,2.58,1.84,2.8,2.62,2.84,3.4,4.94,5.26
Quick Ratio,0.0,0.0,7.63,17.82,21.68,21.4,44.26,24.57,11.73,7.16,22.91
Year over Year,0.0,0.0,0.0,30.8,-5.86,13.69,-15.24,-22.6,-8.95,34.71,21.8
Accounts Payable,0.0,0.0,0.0,0.0,1.77,2.33,0.92,0.66,2.2,2.49,2.33
Revenue,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cap Ex as a % of Sales,0.0,0.0,0.0,0.0,29.4,8.5,2.26,5.35,4.4,2.01,0.0
Days Inventory,0.0,0.0,60.91,141.34,198.45,130.28,139.38,128.3,107.2,73.84,69.42
Net PP&E,0.0,0.0,3.96,8.24,11.16,12.27,13.42,11.71,11.8,11.59,11.07
Net Income USD Mil,0.0,0.0,-49.0,-253.0,-11.0,-15.0,-15.0,-14.0,-9.0,-6.0,-5.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,1.26,13.3,4.02,0.35,0.31
Receivables Turnover,0.0,0.0,5.8,7.09,5.27,5.72,6.72,8.78,8.58,9.11,10.31
SG&A,0.0,0.0,30.49,41.01,57.62,58.1,64.8,58.21,49.2,33.57,29.38
Asset Turnover (Average),0.0,0.0,0.37,0.24,0.16,0.2,0.2,0.18,0.19,0.28,0.34
Accrued Liabilities,0.0,0.0,2.35,0.0,1.85,1.46,0.88,2.75,2.99,2.38,1.32
Intangibles,0.0,0.0,0.1,0.0,0.14,0.12,0.06,0.0,0.0,0.0,0.0
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.69,-8.56,-1.77,0.0
Free Cash Flow/Sales %,0.0,0.0,-10.3,-66.33,-62.98,-59.21,-67.33,-45.89,-63.89,-26.75,-16.42
Total Assets,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gross Margin,0.0,0.0,24.89,23.94,19.73,16.24,16.83,14.28,16.58,20.52,19.61
Operating Cash Flow USD Mil,0.0,0.0,-2.0,-14.0,-7.0,-11.0,-12.0,-6.0,-8.0,-4.0,-3.0
Other Long-Term Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.37,0.0,0.0
Dividends USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
