year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Receivables Turnover,4.71,4.92,4.51,5.26,7.63,8.84,6.03,5.71,14.87,12.03,13.28
SG&A,38.19,90.2,53.64,45.28,38.35,37.33,24.77,27.44,35.94,27.65,27.1
Asset Turnover (Average),0.68,0.45,0.61,0.76,0.87,1.03,1.04,0.67,0.53,0.84,0.71
Accrued Liabilities,0.0,29.42,0.0,7.41,3.11,4.41,3.73,2.71,6.5,7.69,0.0
Intangibles,10.56,14.8,16.84,16.4,12.18,13.35,10.02,7.33,8.57,7.32,7.76
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Year Average,8.09,2.5,-10.86,-4.54,-3.49,1.52,19.31,11.37,4.0,8.6,0.0
Free Cash Flow/Sales %,-19.54,-62.83,-50.12,-19.36,-4.7,-23.97,-34.96,-22.23,-55.94,-18.16,-20.47
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gross Margin,20.07,19.79,25.92,23.03,16.56,28.44,24.62,16.65,20.68,23.77,28.72
Operating Cash Flow USD Mil,-7.0,-11.0,-10.0,-4.0,-1.0,-9.0,-15.0,-6.0,-13.0,-5.0,-8.0
Other Long-Term Assets,0.0,0.65,0.71,1.01,1.77,3.47,5.83,4.18,4.64,6.02,6.44
Dividends USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
