year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,10.15,12.95,16.31,11.77,0.0
Cash & Short-Term Investments,98.68,98.66,98.48,2.51,10.13,11.29,10.25,6.79,5.41,4.61,3.53
EPS % Year over Year,0.0,0.0,0.0,0.0,-32.56,-58.62,0.0,0.0,0.0,-64.79,-106.67
Free Cash Flow CAD Mil,0.0,0.0,0.0,-2.0,31.0,31.0,-15.0,5.0,7.0,-27.0,45.0
Fixed Assets Turnover,0.0,0.0,0.0,2.57,2.74,2.97,2.77,2.31,2.48,2.41,2.35
Tax Rate %,0.0,0.0,0.0,14.4,0.0,0.0,37.78,0.0,21.63,21.33,59.51
Return on Invested Capital %,-134.81,0.0,0.0,24.3,9.28,5.58,1.79,-4.86,10.51,6.05,1.62
Asset Turnover,0.0,0.0,0.0,1.5,0.88,0.94,1.01,0.83,0.82,0.83,0.77
Net Int Inc & Other,0.0,0.0,-13.74,-2.61,-5.99,-10.16,-8.28,-18.84,-1.33,-2.62,-6.41
Debt/Equity,0.0,0.0,0.0,3.33,3.15,3.07,2.43,3.47,2.19,2.73,3.14
Inventory,0.0,0.0,0.0,15.96,12.59,11.33,8.63,8.63,12.58,10.26,13.69
Market Capitalization,105.0,35.0,43.35,N/A,125.97000000000001,269.28000000000003,462.0,688.5600000000001,N/A,N/A,356.48
Operating Income % Year over Year,0.0,0.0,0.0,0.0,11.68,17.76,12.6,49.92,5.53,-37.33,4.27
COGS,0.0,0.0,80.67,79.1,79.3,77.52,76.88,73.82,76.35,82.28,82.8
R&D,0.0,0.0,0.56,0.21,0.5,0.43,0.45,0.39,0.48,0.38,0.32
Net Income % 5-Year Average,0.0,0.0,0.0,56.99,0.0,0.0,0.0,0.0,21.88,0.98,0.0
Other Long-Term Liabilities,0.0,0.0,0.0,0.82,0.84,0.38,0.23,2.96,2.67,3.4,2.72
10-Year Average,0.0,0.0,0.0,0.0,36.88,27.89,37.27,43.89,60.72,42.29,0.0
Gross Margin %,0.0,0.0,19.3,20.9,20.7,22.5,23.1,26.2,23.6,17.7,17.2
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,35.7,0.0
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EPS % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.87,0.0,0.0
Return on Assets %,-123.92,-3.24,-7.57,7.38,3.76,1.53,-0.66,-6.18,5.92,2.1,-1.35
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,10.08,3.47,10.88,19.5,31.66,11.07,0.0
Net Income % Year over Year,0.0,0.0,0.0,0.0,-8.12,-57.81,0.0,0.0,0.0,-64.13,0.0
Operating Margin %,0.0,0.0,9.0,10.7,10.9,12.0,11.8,15.6,13.8,8.4,8.3
Total Liabilities,145.34,148.17,155.98,82.67,80.17,79.52,76.56,83.46,76.25,78.05,79.96
Days Sales Outstanding,0.0,0.0,0.0,17.81,39.41,37.75,32.55,41.34,41.51,45.11,54.97
Return on Equity %,-251.35,0.0,0.0,109.0,21.92,8.19,-3.19,-33.76,30.47,9.44,-6.64
Short-Term Debt,0.0,74.64,0.0,12.08,4.07,3.7,5.2,9.07,9.44,2.79,2.98
EPS % 5-Year Average,0.0,0.0,0.0,48.27,0.0,0.0,0.0,0.0,10.55,-2.92,0.0
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.71,0.0,0.0
Operating Income % 5-Year Average,0.0,0.0,0.0,46.19,16.79,0.0,0.0,0.0,18.56,5.63,0.0
Cap Spending CAD Mil,0.0,0.0,0.0,-21.0,-17.0,-24.0,-83.0,-63.0,-56.0,-85.0,-57.0
Total Current Assets,100.0,100.0,100.0,32.25,36.09,35.03,31.93,28.05,30.65,29.62,30.11
Earnings Per Share CAD,-9.22,-0.07,-0.34,0.32,0.29,0.12,-0.05,-0.65,0.71,0.25,-0.16
Long-Term Debt,144.06,72.23,154.57,57.7,62.5,62.94,56.94,57.34,52.04,59.98,62.91
Inventory Turnover,0.0,0.0,0.0,4.26,4.86,6.09,7.86,7.09,5.95,5.98,4.19
Working Capital CAD Mil,60.0,14.0,55.0,39.0,85.0,83.0,63.0,44.0,71.0,118.0,0.0
Quick Ratio,78.15,1.32,70.78,0.63,1.32,1.45,1.14,0.79,0.8,1.25,1.11
Year over Year,0.0,0.0,0.0,0.0,5.31,10.9,14.43,13.54,21.11,1.55,-3.99
Accounts Payable,0.0,0.0,0.0,11.51,11.71,10.56,11.9,11.45,10.7,10.67,10.26
Revenue,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Revenue CAD Mil,0.0,0.0,291.0,333.0,350.0,389.0,445.0,505.0,612.0,621.0,607.0
Operating Cash Flow CAD Mil,0.0,0.0,0.0,19.0,47.0,55.0,68.0,68.0,63.0,58.0,102.0
Days Inventory,0.0,0.0,0.0,85.63,75.11,59.9,46.46,51.45,61.31,61.06,87.11
Net PP&E,0.0,0.0,0.0,33.45,30.74,32.66,40.06,33.35,33.27,35.29,33.92
Operating Income CAD Mil,0.0,0.0,26.0,36.0,38.0,47.0,53.0,79.0,84.0,52.0,50.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Receivables Turnover,0.0,0.0,0.0,20.49,9.26,9.67,11.21,8.83,8.79,8.09,6.64
Net Margin %,0.0,0.0,0.0,4.91,4.28,1.63,-0.65,-7.45,7.18,2.54,-1.74
SG&A,0.0,0.0,9.81,10.02,9.29,10.04,10.85,10.17,9.4,8.94,8.59
Asset Turnover (Average),0.0,0.0,0.0,1.5,0.88,0.94,1.01,0.83,0.82,0.83,0.77
Accrued Liabilities,1.28,1.3,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intangibles,0.0,0.0,0.0,30.7,28.04,26.17,22.48,33.99,33.86,31.65,31.69
Cap Ex as a % of Sales,0.0,0.0,0.0,6.38,4.73,6.13,18.73,12.55,9.21,13.76,9.36
EPS % 10-Year Average,0.0,0.0,0.0,0.0,-7.61,-20.63,0.0,0.0,28.03,0.0,0.0
Free Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0
5-Year Average,0.0,0.0,0.0,128.71,80.57,0.0,0.0,0.0,12.94,12.12,0.0
Free Cash Flow/Sales %,0.0,0.0,0.0,-0.54,8.8,7.94,-3.44,1.01,1.1,-4.39,7.45
Free Cash Flow Per Share * CAD,0.0,0.0,0.0,0.0,0.6,0.69,-0.24,-0.4,0.06,0.33,0.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gross Margin,0.0,0.0,19.33,20.9,20.7,22.48,23.12,26.18,23.65,17.72,17.2
Net Income CAD Mil,-256.0,-2.0,-19.0,16.0,15.0,6.0,-3.0,-38.0,44.0,16.0,-11.0
Other Long-Term Assets,0.0,0.0,0.0,3.61,5.12,6.13,5.54,4.61,2.22,3.44,4.28
