year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,TTM
Total Stockholders' Equity,68.81,7.79,0.55,-3.23,-2.38,4.52,1.15,-4.63,4.27,0.89,0.89
Free Cash Flow Per Share * USD,-0.01,-0.14,-0.24,0.19,0.21,-0.3,-0.49,-0.03,-0.17,-0.05,0.0
Operating Income % Year over Year,0.0,0.0,0.0,10.96,-21.07,-9.08,-59.89,0.0,0.0,0.0,-34.95
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow USD Mil,-0.0,1.0,-2.0,41.0,44.0,-11.0,22.0,-3.0,-1.0,9.0,9.0
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,34.44,22.83,0.0,0.0,0.0,0.0
Return on Equity %,-100.66,-56.08,-140.81,0.0,0.0,-184.64,-82.63,0.0,0.0,-164.01,-164.01
Return on Invested Capital %,-101.18,-3.57,-1.02,0.0,0.0,1.21,2.26,0.0,0.0,-2.4,-2.4
Cash & Short-Term Investments,54.05,10.09,8.48,8.34,18.31,14.41,2.93,14.67,14.35,4.59,4.59
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Current Liabilities,31.19,29.51,8.41,11.02,13.41,15.91,13.11,9.09,6.99,8.32,8.32
Net Income USD Mil,-59.0,-18.0,-26.0,-8.0,-10.0,-16.0,-15.0,-43.0,20.0,-9.0,-9.0
Fixed Assets Turnover,0.0,0.07,0.15,0.16,0.15,0.12,0.11,0.05,0.13,0.14,0.14
Other Current Assets,0.6,0.0,0.0,0.0,0.0,6.04,6.23,7.77,10.54,12.53,12.53
Net Int Inc & Other,0.0,-40.29,-76.99,-46.17,-46.26,-58.69,-77.38,-599.07,110.8,-35.07,-35.07
EBT Margin,0.0,-161.78,-40.03,-7.93,-15.1,-27.91,-65.24,-675.69,80.7,-37.98,-37.98
Accounts Receivable,2.46,2.99,4.23,6.6,4.23,0.84,4.2,3.32,2.63,2.39,2.39
Interest Coverage,0.0,-0.85,0.35,0.84,0.7,0.49,0.21,-3.89,2.18,-0.38,-0.38
COGS,0.0,56.22,40.02,46.58,52.83,47.89,66.4,123.41,89.05,66.22,66.22
Free Cash Flow USD Mil,-1.0,-24.0,-56.0,39.0,33.0,-165.0,-10.0,-54.0,-47.0,-6.0,-6.0
Gross Margin,0.0,43.78,59.98,53.42,47.17,52.11,33.6,-23.41,10.95,33.78,33.78
Debt/Equity,0.0,7.5,152.55,0.0,0.0,15.14,69.04,0.0,18.92,92.8,92.8
Quick Ratio,1.81,0.44,1.51,1.35,1.68,0.96,0.54,1.78,2.44,0.84,0.84
Revenue,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Shares Mil,159.0,166.0,185.0,201.0,206.0,324.0,334.0,334.0,334.0,334.0,334.0
Total Current Assets,57.12,13.08,12.71,14.93,22.55,21.29,13.36,25.76,27.52,19.51,19.51
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,-7.31,-33.97,0.0,0.0,0.0,0.0
Long-Term Debt,0.0,58.46,83.59,81.66,80.7,68.39,79.06,84.14,80.82,82.52,82.52
Operating Margin %,0.0,-121.5,37.0,38.2,31.2,30.8,12.1,-76.6,-30.1,-2.9,-2.9
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,0.0,43.8,60.0,53.4,47.2,52.1,33.6,-23.4,10.9,33.8,33.8
Asset Turnover,0.0,0.05,0.11,0.12,0.11,0.08,0.08,0.03,0.09,0.09,0.09
Operating Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,0.0,0.0,0.0
Cash Conversion Cycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow/Net Income,0.01,1.32,2.11,-4.56,-3.23,10.09,0.67,1.25,-2.38,0.72,0.72
Taxes Payable,0.21,0.45,0.0,0.13,0.15,0.07,0.11,0.17,0.25,0.39,0.39
Cap Ex as a % of Sales,0.0,214.5,102.9,3.65,20.82,310.85,63.56,333.83,207.03,77.71,77.71
Net Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. close,N/A,N/A,0.85,0.43,0.29,N/A,N/A,0.33,0.3,0.23,0.245
Asset Turnover (Average),0.0,0.05,0.11,0.12,0.11,0.08,0.08,0.03,0.09,0.09,0.09
Net Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Book Value Per Share * USD,0.2,0.19,0.13,-0.07,-0.05,0.16,0.09,-0.29,0.05,0.01,0.01
Other Short-Term Liabilities,30.83,1.27,2.24,2.71,2.34,1.87,0.77,1.38,1.2,1.08,1.08
